timestamp,TT101,TT102,TT103,FT103,LT101,AT101
2025-01-15 08:00:00,84.82,40.72,30.09,893.2,50.07,1.95
2025-01-15 08:00:30,84.63,41.07,29.74,900.1,49.22,1.85
2025-01-15 08:01:00,85.07,41.39,29.81,898.0,50.42,2.21
2025-01-15 08:01:30,85.3,41.12,30.35,896.3,50.97,1.96
2025-01-15 08:02:00,84.94,40.96,29.97,909.8,49.69,2.09
2025-01-15 08:02:30,85.51,41.23,30.13,899.0,49.54,1.95
2025-01-15 08:03:00,85.63,41.34,30.01,908.5,50.41,2.01
2025-01-15 08:03:30,85.82,41.62,29.99,909.5,50.63,2.25
2025-01-15 08:04:00,85.83,41.36,30.45,903.3,50.5,2.22
2025-01-15 08:04:30,85.32,41.58,29.9,913.3,51.28,2.16
2025-01-15 08:05:00,86.12,41.51,30.32,913.2,50.99,2.12
2025-01-15 08:05:30,86.15,42.07,30.2,915.4,50.03,2.24
2025-01-15 08:06:00,86.03,42.17,30.43,910.4,50.76,2.24
2025-01-15 08:06:30,85.48,41.81,30.06,908.8,50.19,2.29
2025-01-15 08:07:00,85.66,41.7,30.21,921.9,50.32,2.17
2025-01-15 08:07:30,86.15,42.27,30.49,922.8,50.79,2.17
2025-01-15 08:08:00,86.03,42.32,30.59,912.3,50.67,2.11
2025-01-15 08:08:30,85.97,42.06,30.39,915.1,50.41,2.2
2025-01-15 08:09:00,86.17,42.18,30.62,922.8,51.51,2.29
2025-01-15 08:09:30,86.55,41.83,30.61,925.1,52.31,2.38
2025-01-15 08:10:00,86.33,42.16,30.15,923.7,50.76,2.1
2025-01-15 08:10:30,86.21,42.02,30.31,915.2,50.71,2.14
2025-01-15 08:11:00,86.17,42.23,30.14,929.1,52.02,2.15
2025-01-15 08:11:30,86.38,42.27,30.36,917.8,52.57,2.5
2025-01-15 08:12:00,86.66,42.42,30.21,918.2,51.63,2.22
2025-01-15 08:12:30,87.08,42.21,30.19,932.5,52.08,2.19
2025-01-15 08:13:00,86.86,42.15,30.51,933.5,52.83,2.42
2025-01-15 08:13:30,86.64,42.46,30.31,930.8,52.24,2.46
2025-01-15 08:14:00,86.76,42.39,30.72,934.8,52.95,2.48
2025-01-15 08:14:30,87.31,42.84,30.38,927.8,52.03,2.18
2025-01-15 08:15:00,86.57,42.51,30.42,931.0,53.31,2.36
2025-01-15 08:15:30,87.54,43.11,30.85,926.2,51.91,2.28
2025-01-15 08:16:00,86.85,42.51,30.67,935.1,53.22,2.39
2025-01-15 08:16:30,87.36,43.02,30.36,931.6,53.43,2.52
2025-01-15 08:17:00,87.5,42.79,30.44,934.0,52.35,2.53
2025-01-15 08:17:30,87.77,42.76,30.59,936.7,53.2,2.29
2025-01-15 08:18:00,86.98,42.58,30.9,934.6,52.12,2.56
2025-01-15 08:18:30,87.88,43.01,30.58,930.7,52.15,2.24
2025-01-15 08:19:00,87.91,43.03,30.7,936.9,52.83,2.59
2025-01-15 08:19:30,87.81,42.7,30.55,926.7,52.51,2.48
2025-01-15 08:20:00,87.28,42.88,30.5,936.5,52.8,2.44
2025-01-15 08:20:30,87.65,43.28,30.68,936.6,53.16,2.47
2025-01-15 08:21:00,87.63,42.59,30.71,924.8,52.23,2.59
2025-01-15 08:21:30,87.31,42.96,30.89,930.6,52.94,2.48
2025-01-15 08:22:00,87.73,43.22,30.53,930.4,52.84,2.39
2025-01-15 08:22:30,87.98,43.0,30.82,933.4,54.23,2.46
2025-01-15 08:23:00,87.85,43.0,30.8,932.0,53.37,2.5
2025-01-15 08:23:30,87.75,43.35,30.93,934.6,54.41,2.39
2025-01-15 08:24:00,87.86,43.35,31.02,922.4,52.83,2.47
2025-01-15 08:24:30,87.39,42.79,30.57,930.5,54.21,2.65
2025-01-15 08:25:00,87.5,43.16,30.94,921.6,54.47,2.68
2025-01-15 08:25:30,87.59,43.35,30.79,926.6,54.74,2.63
2025-01-15 08:26:00,87.55,42.92,30.87,923.6,53.2,2.43
